original_file,inferred_professor,inferred_year,suggested_category,confidence,score_mid1,score_mid2,score_final
./assets/organic_chemistry/106有機一(陳建添)（化學系）/1 st/IMG_6909.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/1 st/IMG_6910.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/1 st/IMG_6911.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/2 nd/IMG_6911.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/2 nd/IMG_6912.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/2 nd/IMG_6913.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/2 nd/IMG_6914.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/2 nd/IMG_6915.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/2 nd/IMG_6916.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/2 nd/IMG_6917.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/2 nd/IMG_6918.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/3 rd/IMG_6919.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/3 rd/IMG_6920.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/3 rd/IMG_6921.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/3 rd/IMG_6922.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/3 rd/IMG_6923.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/3 rd/IMG_6924.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/3 rd/IMG_6925.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/3 rd/IMG_6926.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/3 rd/IMG_6927.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/3 rd/IMG_6928.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/3 rd/IMG_6929.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/3 rd/IMG_6930.JPG,陳建添,2017,unknown,0,0,0,0
./assets/organic_chemistry/106有機一(陳建添)（化學系）/final/IMG_6931.JPG,陳建添,2017,final,18,0,0,18
./assets/organic_chemistry/106有機一(陳建添)（化學系）/final/IMG_6932.JPG,陳建添,2017,final,18,0,0,18
./assets/organic_chemistry/106有機一(陳建添)（化學系）/final/IMG_6933.JPG,陳建添,2017,final,18,0,0,18
./assets/organic_chemistry/106有機一(陳建添)（化學系）/final/IMG_6934.JPG,陳建添,2017,final,18,0,0,18
./assets/organic_chemistry/106有機一(陳建添)（化學系）/final/IMG_6935.JPG,陳建添,2017,final,18,0,0,18
./assets/organic_chemistry/106有機一(陳建添)（化學系）/final/IMG_6936.JPG,陳建添,2017,final,18,0,0,18
./assets/organic_chemistry/106有機一(陳建添)（化學系）/final/IMG_6937.JPG,陳建添,2017,final,18,0,0,18
