original_file,inferred_professor,inferred_year,suggested_category,confidence,score_mid1,score_mid2,score_final
./assets/organic_chemistry/103organic/103organic_final/1.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_final/10.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_final/103organic_final_merged.pdf,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_final/11.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_final/12.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_final/2.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_final/3.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_final/4.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_final/5.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_final/6.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_final/7.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_final/8.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_final/9.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_first_mid/1.jpg,,2014,mid1,18,18,0,0
./assets/organic_chemistry/103organic/103organic_first_mid/103organic_first_mid_merged.pdf,,2014,mid1,18,18,0,0
./assets/organic_chemistry/103organic/103organic_first_mid/2.jpg,,2014,mid1,18,18,0,0
./assets/organic_chemistry/103organic/103organic_first_mid/3.jpg,,2014,mid1,18,18,0,0
./assets/organic_chemistry/103organic/103organic_first_mid/4.jpg,,2014,mid1,18,18,0,0
./assets/organic_chemistry/103organic/103organic_first_mid/5.jpg,,2014,mid1,18,18,0,0
./assets/organic_chemistry/103organic/103organic_first_mid/6.jpg,,2014,mid1,18,18,0,0
./assets/organic_chemistry/103organic/103organic_first_mid/7.jpg,,2014,mid1,18,18,0,0
./assets/organic_chemistry/103organic/103organic_mid/1.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_mid/10.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_mid/103organic_mid_merged.pdf,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_mid/2.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_mid/3.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_mid/4.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_mid/5.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_mid/6.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_mid/7.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_mid/8.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_mid/9.jpg,,2014,unknown,0,0,0,0
./assets/organic_chemistry/103organic/103organic_second_mid/1.jpg,,2014,mid2,18,0,18,0
./assets/organic_chemistry/103organic/103organic_second_mid/10.jpg,,2014,mid2,18,0,18,0
./assets/organic_chemistry/103organic/103organic_second_mid/103organic_second_mid_merged.pdf,,2014,mid2,18,0,18,0
./assets/organic_chemistry/103organic/103organic_second_mid/11.jpg,,2014,mid2,18,0,18,0
./assets/organic_chemistry/103organic/103organic_second_mid/2.jpg,,2014,mid2,18,0,18,0
./assets/organic_chemistry/103organic/103organic_second_mid/3.jpg,,2014,mid2,18,0,18,0
./assets/organic_chemistry/103organic/103organic_second_mid/4.jpg,,2014,mid2,18,0,18,0
./assets/organic_chemistry/103organic/103organic_second_mid/5.jpg,,2014,mid2,18,0,18,0
./assets/organic_chemistry/103organic/103organic_second_mid/6.jpg,,2014,mid2,18,0,18,0
./assets/organic_chemistry/103organic/103organic_second_mid/7.jpg,,2014,mid2,18,0,18,0
./assets/organic_chemistry/103organic/103organic_second_mid/8.jpg,,2014,mid2,18,0,18,0
./assets/organic_chemistry/103organic/103organic_second_mid/9.jpg,,2014,mid2,18,0,18,0
./assets/organic_chemistry/106organic_chemistry/1_st/1_st_merged.pdf,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/1_st/img_6905.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/1_st/img_6906.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/1_st/img_6907.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/1_st/img_6908.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/1_st/img_6909.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/1_st/img_6910.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/1_st/img_6911.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/106organicfinal.pdf,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/106organicmid.pdf,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/106organicmid.pptx,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/106organicmid1.doc,,2017,mid1,18,18,0,0
./assets/organic_chemistry/106organic_chemistry/106organicmid2.doc,,2017,mid2,18,0,18,0
./assets/organic_chemistry/106organic_chemistry/2_nd/2_nd_merged.pdf,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/2_nd/img_6911.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/2_nd/img_6912.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/2_nd/img_6913.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/2_nd/img_6914.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/2_nd/img_6915.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/2_nd/img_6916.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/2_nd/img_6917.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/2_nd/img_6918.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/3_rd/3_rd_merged.pdf,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/3_rd/img_6919.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/3_rd/img_6920.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/3_rd/img_6921.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/3_rd/img_6922.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/3_rd/img_6923.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/3_rd/img_6924.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/3_rd/img_6925.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/3_rd/img_6926.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/3_rd/img_6927.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/3_rd/img_6928.jpg,,2017,unknown,0,0,0,0
./assets/organic_chemistry/106organic_chemistry/3_rd/img_6929.jpg,,2017,unknown,0,0,0,0
